date,gdp_real,trend,cycle
2007-04-01,16713.314,16430.697189669165,282.6168103308337
2007-07-01,16809.587,16478.422576268746,331.1644237312539
2007-10-01,16915.191,16521.044292607847,394.14670739215217
2008-01-01,16843.003,16559.203547375735,283.79945262426554
2008-04-01,16943.291,16593.787890953805,349.5031090461962
2008-07-01,16854.295,16625.86224838133,228.43275161866768
2008-10-01,16485.35,16656.709984140736,-171.35998414073765
2009-01-01,16298.262,16687.75723318421,-389.4952331842087
2009-04-01,16269.145,16720.323030473835,-451.17803047383495
2009-07-01,16326.281,16755.48297645097,-429.2019764509696
2009-10-01,16502.754,16794.03068528793,-291.27668528792856
2010-01-01,16582.71,16836.491519921743,-253.7815199217439
2010-04-01,16743.162,16883.208795361126,-140.046795361126
2010-07-01,16872.266,16934.36721316486,-62.10121316486038
2010-10-01,16960.864,16990.06394564462,-29.1999456446174
2011-01-01,16920.632,17050.35735185385,-129.72535185384913
2011-04-01,17035.114,17115.287540879977,-80.17354087997592
2011-07-01,17031.313,17184.813543465523,-153.50054346552497
2011-10-01,17222.583,17258.844281889964,-36.261281889965176
2012-01-01,17367.01,17337.192740593106,29.817259406892845
2012-04-01,17444.525,17419.64924071358,24.87575928642036
2012-07-01,17469.65,17506.022739177162,-36.37273917716084
2012-10-01,17489.852,17596.137740259164,-106.28574025916532
2013-01-01,17662.4,17689.79601527293,-27.39601527292689
2013-04-01,17709.671,17786.732906944115,-77.06190694411634
2013-07-01,17860.45,17886.66663548884,-26.21663548883953
2013-10-01,18016.147,17989.2672574314,26.879742568602524
2014-01-01,17953.974,18094.188443898904,-140.2144438989053
2014-04-01,18185.911,18201.10066585757,-15.189665857571526
2014-07-01,18406.941,18309.58676024618,97.35423975381855
2014-10-01,18500.031,18419.220070462357,80.81092953764164
2015-01-01,18666.621,18529.63478630357,136.98621369642933
2015-04-01,18782.243,18640.515604398242,141.72739560175614
2015-07-01,18857.418,18751.632837758363,105.78516224163832
2015-10-01,18892.206,18862.845379018174,29.360620981824468
2016-01-01,19001.69,18974.078236538306,27.611763461693045
2016-04-01,19062.709,19085.274769067502,-22.565769067503425
2016-07-01,19197.938,19196.39559270667,1.5424072933274147
2016-10-01,19304.352,19307.38721995106,-3.035219951059844
2017-01-01,19398.343,19418.197127300486,-19.854127300484834
2017-04-01,19506.949,19528.770894242298,-21.821894242297276
2017-07-01,19660.766,19639.04169143427,21.72430856572828
2017-10-01,19882.352,19748.929050850278,133.4229491497208
2018-01-01,20044.077,19858.36608215703,185.71091784297096
2018-04-01,20150.476,19967.369284364446,183.10671563555297
2018-07-01,20276.154,20076.0712258061,200.08277419389924
2018-10-01,20304.874,20184.718916512844,120.15508348715593
2019-01-01,20431.641,20293.684418249395,137.95658175060453
2019-04-01,20602.275,20403.41488970766,198.86011029234214
2019-07-01,20843.322,20514.44371244314,328.8782875568613
2019-10-01,20985.448,20627.428555580263,358.01944441973683
2020-01-01,20709.212,20743.232637173183,-34.020637173183786
2020-04-01,19077.992,20862.942937428812,-1784.9509374288136
2020-07-01,20558.879,20987.625173655826,-428.74617365582526
2020-10-01,20791.917,21117.229468827005,-325.3124688270036
2021-01-01,21082.134,21251.437979556595,-169.30397955659646
2021-04-01,21440.929,21389.729542165827,51.19945783417279
2021-07-01,21617.828,21531.47717798868,86.35082201132172
2021-10-01,21988.737,21676.085908020283,312.65109197971833
2022-01-01,21932.71,21823.014722519514,109.69527748048495
2022-04-01,21967.045,21971.91801867775,-4.873018677750224
2022-07-01,22125.625,22122.518753234785,3.1062467652154737
2022-10-01,22278.345,22274.536837293737,3.808162706263829
2023-01-01,22439.607,22427.694123361947,11.912876638052694
2023-04-01,22580.499,22581.71484404846,-1.215844048459985
2023-07-01,22840.989,22736.330677510225,104.65832248977676
2023-10-01,23033.78,22891.27254200166,142.5074579983375
2024-01-01,23082.119,23046.336767228742,35.78223277125653
2024-04-01,23286.508,23201.408750058687,85.09924994131507
2024-07-01,23478.57,23356.39625125422,122.17374874577945
2024-10-01,23586.542,23511.26021860927,75.28178139073134
2025-01-01,23548.21,23666.03795851073,-117.82795851073024
2025-04-01,23770.976,23820.813828458864,-49.83782845886526
2025-07-01,24026.834,23975.598543479868,51.235456520131265
2025-10-01,24111.83,24130.371669957145,-18.541669957143313
